,tile,date,variable,value,geometry
51,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.7652433,"POLYGON ((-66.90416666666667 10.545833333333333, -66.9 10.545833333333333, -66.9 10.549999999999999, -66.90416666666667 10.549999999999999, -66.90416666666667 10.545833333333333))"
52,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.7631653,"POLYGON ((-66.9 10.545833333333333, -66.89583333333334 10.545833333333333, -66.89583333333334 10.549999999999999, -66.9 10.549999999999999, -66.9 10.545833333333333))"
53,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6781507,"POLYGON ((-66.8625 10.545833333333333, -66.85833333333333 10.545833333333333, -66.85833333333333 10.549999999999999, -66.8625 10.549999999999999, -66.8625 10.545833333333333))"
54,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6008274,"POLYGON ((-66.825 10.545833333333333, -66.82083333333334 10.545833333333333, -66.82083333333334 10.549999999999999, -66.825 10.549999999999999, -66.825 10.545833333333333))"
55,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.39338875,"POLYGON ((-66.82083333333334 10.545833333333333, -66.81666666666668 10.545833333333333, -66.81666666666668 10.549999999999999, -66.82083333333334 10.549999999999999, -66.82083333333334 10.545833333333333))"
56,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.3954796,"POLYGON ((-66.81666666666666 10.545833333333333, -66.8125 10.545833333333333, -66.8125 10.549999999999999, -66.81666666666666 10.549999999999999, -66.81666666666666 10.545833333333333))"
57,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,13.546552,"POLYGON ((-67.01666666666667 10.541666666666666, -67.0125 10.541666666666666, -67.0125 10.545833333333333, -67.01666666666667 10.545833333333333, -67.01666666666667 10.541666666666666))"
58,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,38.612823,"POLYGON ((-67.0125 10.541666666666666, -67.00833333333334 10.541666666666666, -67.00833333333334 10.545833333333333, -67.0125 10.545833333333333, -67.0125 10.541666666666666))"
59,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,40.123737,"POLYGON ((-67.00833333333334 10.541666666666666, -67.00416666666668 10.541666666666666, -67.00416666666668 10.545833333333333, -67.00833333333334 10.545833333333333, -67.00833333333334 10.541666666666666))"
60,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,7.962223,"POLYGON ((-67.00416666666666 10.541666666666666, -67 10.541666666666666, -67 10.545833333333333, -67.00416666666666 10.545833333333333, -67.00416666666666 10.541666666666666))"
61,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,5.2963243,"POLYGON ((-67 10.541666666666666, -66.99583333333334 10.541666666666666, -66.99583333333334 10.545833333333333, -67 10.545833333333333, -67 10.541666666666666))"
62,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,5.315069,"POLYGON ((-66.99583333333334 10.541666666666666, -66.99166666666667 10.541666666666666, -66.99166666666667 10.545833333333333, -66.99583333333334 10.545833333333333, -66.99583333333334 10.541666666666666))"
63,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.640106,"POLYGON ((-66.99166666666666 10.541666666666666, -66.9875 10.541666666666666, -66.9875 10.545833333333333, -66.99166666666666 10.545833333333333, -66.99166666666666 10.541666666666666))"
64,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.6396775,"POLYGON ((-66.9875 10.541666666666666, -66.98333333333333 10.541666666666666, -66.98333333333333 10.545833333333333, -66.9875 10.545833333333333, -66.9875 10.541666666666666))"
65,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.2038352,"POLYGON ((-66.98333333333333 10.541666666666666, -66.97916666666667 10.541666666666666, -66.97916666666667 10.545833333333333, -66.98333333333333 10.545833333333333, -66.98333333333333 10.541666666666666))"
66,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.2053015,"POLYGON ((-66.97916666666667 10.541666666666666, -66.97500000000001 10.541666666666666, -66.97500000000001 10.545833333333333, -66.97916666666667 10.545833333333333, -66.97916666666667 10.541666666666666))"
67,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.9307356,"POLYGON ((-66.975 10.541666666666666, -66.97083333333333 10.541666666666666, -66.97083333333333 10.545833333333333, -66.975 10.545833333333333, -66.975 10.541666666666666))"
68,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,2.372154,"POLYGON ((-66.97083333333333 10.541666666666666, -66.96666666666667 10.541666666666666, -66.96666666666667 10.545833333333333, -66.97083333333333 10.545833333333333, -66.97083333333333 10.541666666666666))"
69,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.7197251,"POLYGON ((-66.9625 10.541666666666666, -66.95833333333334 10.541666666666666, -66.95833333333334 10.545833333333333, -66.9625 10.545833333333333, -66.9625 10.541666666666666))"
70,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.2097833,"POLYGON ((-66.95833333333333 10.541666666666666, -66.95416666666667 10.541666666666666, -66.95416666666667 10.545833333333333, -66.95833333333333 10.545833333333333, -66.95833333333333 10.541666666666666))"
71,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3775821,"POLYGON ((-66.95 10.541666666666666, -66.94583333333334 10.541666666666666, -66.94583333333334 10.545833333333333, -66.95 10.545833333333333, -66.95 10.541666666666666))"
72,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3781748,"POLYGON ((-66.94583333333334 10.541666666666666, -66.94166666666668 10.541666666666666, -66.94166666666668 10.545833333333333, -66.94583333333334 10.545833333333333, -66.94583333333334 10.541666666666666))"
73,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.7204757,"POLYGON ((-66.90416666666667 10.541666666666666, -66.9 10.541666666666666, -66.9 10.545833333333333, -66.90416666666667 10.545833333333333, -66.90416666666667 10.541666666666666))"
74,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.71421856,"POLYGON ((-66.9 10.541666666666666, -66.89583333333334 10.541666666666666, -66.89583333333334 10.545833333333333, -66.9 10.545833333333333, -66.9 10.541666666666666))"
75,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6723467,"POLYGON ((-66.89583333333333 10.541666666666666, -66.89166666666667 10.541666666666666, -66.89166666666667 10.545833333333333, -66.89583333333333 10.545833333333333, -66.89583333333333 10.541666666666666))"
76,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,4.658824,"POLYGON ((-66.89166666666667 10.541666666666666, -66.8875 10.541666666666666, -66.8875 10.545833333333333, -66.89166666666667 10.545833333333333, -66.89166666666667 10.541666666666666))"
77,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,1.3711505,"POLYGON ((-66.87083333333334 10.541666666666666, -66.86666666666667 10.541666666666666, -66.86666666666667 10.545833333333333, -66.87083333333334 10.545833333333333, -66.87083333333334 10.541666666666666))"
78,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.76734257,"POLYGON ((-66.86666666666666 10.541666666666666, -66.8625 10.541666666666666, -66.8625 10.545833333333333, -66.86666666666666 10.545833333333333, -66.86666666666666 10.541666666666666))"
79,h11v07,2019-03-01,DNB_BRDF-Corrected_NTL,0.6409029,"POLYGON ((-66.8625 10.541666666666666, -66.85833333333333 10.541666666666666, -66.85833333333333 10.545833333333333, -66.8625 10.545833333333333, -66.8625 10.541666666666666))"
